full_name,position,team,rank,tier,player_id
Josh Allen,QB,BUF,2,1,4984
Patrick Mahomes,QB,KC,1,1,4046
Jalen Hurts,QB,PHI,4,1,6904
C.J. Stroud,QB,HOU,3,1,9758
Christian McCaffrey,RB,SF,6,1,4034
Lamar Jackson,QB,BAL,5,1,4881
Tyreek Hill,WR,MIA,8,1,3321
CeeDee Lamb,WR,DAL,7,1,6786
Bijan Robinson,RB,ATL,10,1,9509
Breece Hall,RB,NYJ,9,1,8155
Justin Jefferson,WR,MIN,13,1,6794
Ja'Marr Chase,WR,CIN,11,1,7564
Amon-Ra St. Brown,WR,DET,12,1,7547
Anthony Richardson,QB,IND,15,2,9229
Garrett Wilson,WR,NYJ,14,2,8146
Jahmyr Gibbs,RB,DET,17,2,9221
Jordan Love,QB,GB,16,2,6804
Kyler Murray,QB,ARI,19,2,5849
Trey McBride,TE,ARI,18,2,8130
Sam LaPorta,TE,DET,21,2,10859
